text,label
"cảm ơn nhật !  khoa học , giáo dục , trí tuệ văn minh ! yêu",1
hahaha ca  vui bao cười,1
bảo haha,0
má chủ thương tao,1
"kinh nghiệm truyền nấu xong tí "" tro "" nấu vui",1
"đắng cay , ta gia đình , bè quyền lựa sống . vui tất ta hai bàn trắng",2
thương . lao động nghiêm túc,1
đụ mẹ thực tế . tiếc đéo cười,2
per mấy trụ kia tag,0
tiền,2
"đẹp , dẽ thương",1
phim . nhẹ nhàng tình cảm . cười vãi lồn,1
dỗ gái giận buồn,2
chẳng dịu dàng níu chân,2
 xe cup xưa mấy liền,0
phút tuyệt vời . cảm giác,1
yêu . yêu . đơn,2
nhặt nghĩa hạnh phúc vui,1
per cười hít đi no mắc công chửi tao giở trò mặt cẩu đơn mày cười,1
bả đòi ?,0
", trời rơi mắt thay công mùa đi tong trận mưa",2
sống mấy đời nợ mẹ trọn mấy đời .,2
tiếng hoà phú yên tao nyc . giọng thể tả . buồn,2
coi phê phê lỗ tai ? hớn hở,1
. huhu,2
hoa lộng lẫy .  hoa đong yêu thương nhắn cảm hạnh phúc vui,1
"khuôn mặt ngây thơ vô tội , trái tim bé tao yêu yêu",1
sống đành =(,2
" , tiếc thời học sinh hapy",2
"per , tất nhiên ngoại lệ",0
"phim í , bé bé xinh xinh diễn hm . hy vọng mai tiến thành công < ",1
tui chả thú vị .,0
chùa vàng giải vong kết hôn cười,1
 nấu kiểu nấu hôm đầu cơm dẻo khen ngon,1
chất tham lam thể hiện .,0
đi chết mẹ,2
"chó yêu thương , kiên trì tưởng :"">",1
đỡ cãi cười,0
phường ta phát rể ?,0
tao cảm đơn mỏi chân . tao mát ké socola of bọn yêu vui haha .# mun yêu,1
đời minh chứng !thích yêu,0
yên bình . yêu yêu yêu yêu yêu yêu,1
hoa ta hạnh phúc,2
hên chay kip,1
tao  video đời buồn,2
đa ́ yêu ́,1
may tài xế buồn herry_blossom:,1
thay vé đi chán,2
đọc bình luận cười ỉa,1
per coi nha haha,1
"mặt kiểu , cảm giác phê",1
 ta trẻ cười,2
may đi  phát khổ bố mẹ mấy ta,1
giáo tâm vời nghề ghêe,1
tiếc đẹp trai mờ chim,2
crush gane haha,1
st đồng cảm khủng khiếp .,2
cài lò xô huyền thoại,1
"cố gắng lỗ lực công lao đền đáp sứng , cố gắng",1
"gấu trúc , trúc đi cười tướng cưng vãi",1
im .  tr,2
"lò huyền thoại nè per ,",1
tuyệt vời,1
đi chạy xe mưa ta cười,0
cưng,1
hạnh phúc to nè,1
thần nhây vãi đái haha,1
chả vị mắt chán,2
mong sử phạt giao thông,0
hình đóng phim ngây ngô fải . phim lắm,1
haha coi mặt thương,1
"per khiếp xưa , đi cười tối mệt mỏi",1
per nhiên tao cảm nhột nhột mày,0
"tỉ cười cười suy chả bù , đéo cười , sống tràn ngập niềm vui < ",1
crush vui vẻ cười mỉm cute vãi bó thất vọng haha yêu yêu,1
per tặng vợ bát nha kaka,1
"tiêu đề phim ngỡ thể hài , rút phim",1
"hình đàn đau khổ ? hình đau khổ , thể or .",2
 per . hình ảnh . .  ròng rã . lưu lạc . :loudly_khócing_face:,2
per áp dụng hàng xóm nhể haha,1
yêu,1
ok cắt chất giá,0
uống chẳng bổ béo,0
nổi chìm haha,1
nóng hỏng viẹc - trẻ nhẹ nhàng cương quyết,0
bướng !,0
ma tiếc hạt trân châu,2
cảm động,1
per mặt hài vler cười,1
"đấy gọi ngu đâm đầu , tao cười",1
phút huy hoàng tắt le lói ngàn thu,1
câu buồn hớn hở,2
chết đi sống thương,2
"bất đời tao vị cay , nồng khóe mắt cười",2
điện đứa . đem mũ . coi . kaka .,1
per tao mày cười,1
kia ! đẹp giớ ! hy vọng đẹp diễn giây phút .,1
cưng sức nà,1
"đi niềm chả , vụng đánh rơi vời . chân thành tổn thương",2
"thời đi học , tao thề ngoan học đi bữa",0
giới,0
tội lắm buồn,2
kiếp gieo nghiệp kiếp gánh,2
hihi ảo tưởng,1
hahah tao hoàn chỉnh,1
quan tâm giá trị học bổng bao nhiêu .  . tâm đất học xong . he . chúc mừng .,1
sóc xong gõ trào,0
 sủa đêm đêm rủ hú ?,0
dân giả khiển trách,0
per huhu trời,2
gái chả cười trai đi đụ mẹ mày hàng,1
tui mắt crush cười,1
hành động đẹp,1
"tao bảo "" tao đường , tao ."" thương",1
tui tao  cắm tai :loudly_khócing_face:,2
chuẩn . hài . đừng mơ mộng viển vông,1
per quẹo lựa mấy đứa . lễ vé . nóng cười,1
may tao đắp chăn cảnh đông đi chớt,0
đau,2
vụ xử vụ thang máy . haha,1
rài mặt cờ rút mệt,2
tao hồi bé . ngại,1
buồn,2
bắt buồn coi,2
"per thể nè , vẻ phê",1
. trai tao tập lo phụ mẹ cười,1
per nhện kìa haha,1
per đi tong học . nghiệp . buồn,2
thân thiết lưng đau .,2
. ngấm cười,1
tương lai ảnh :,0
"per đấu to , phen",1
thể ?,0
đi bao nhiêu chán . cảm giác hồi hộp cười,2
per hiền hiền :rolling_on_the_floor_cườiing:,1
tao đa mấy đứa trai cắt tóc xong ngáo đéo cười . cười tét hàm đùa,1
đơn giản : chó . ta đuổi chạy . ta chạy đuổi,0
ướp đông lạnh,0
hiệu quan trọng,0
chờ . yêu ghê,1
tao buồn mấy,2
đối xử thân cười,1
"chủ động , nhắn time . đời mơ",2
tao đi phân khối . kêu cá vãi vui,1
động lực phụ nữ chiến đấu gia đình thân cười,0
mink lo gạo nuôi mấy,2
"chuẩn . mệt xỉu , xong đồng nghiệp đùa đôi câu câu vui trở haha đồng nghiệp quan trọng",1
trèo ảnh áo mưa đi kẻo ướt ảnh,0
ghé tao cười,1
mặt cười phọt,1
per cấm dừng đỗ cụ thớt ?,0
đọc chả buồn gốc buồn,2
mạng lag bình luận yêu,0
"vợ thể ngủ mẹ , ngủ haha",1
giọng phim yêu,1
đẹp đôi vãi,1
"móng  bàn bàn kia sạch bình cụ chùi đít , đanh , kiểu cười",0
tiền cắt tóc kia mua giày vui vẻ,2
"phim . đời đứa gái uống xong ngất , hôm mẹ trung quốc",0
kiểu đứa thắng !,0
"èo , đi",1
kệ tao đéo quan tâm . chụp chụp,0
già vui :rolling_on_the_floor_cườiing:thích,1
tao nấu củi nấu rơm bao mệt,0
bếp dầu kia thuờg,0
ngọc ngọc đồng nghiệp,0
tạm biệt sếp mong sếp .,0
tao thương ế mơ mộng,2
"má , đụ mẹ cười ỉa cười",1
nè cười mua  ly rớt  ly,0
chảy mắt,0
per ngôn tình quanh ta đéo ta :nhếch môi_face:,2
lỡ bầu đi nhảy kiểu haha,1
mát mát gan ?,1
tao,0
chọc yêu giận đéo yêu hihi,2
"ok , điện",1
tao mơ,1
"per tết xong , cầu cân haha",1
cười  quyền gẫy gậy té sấp mặt đỡ đối phương đâm lòi phèo,2
chắn pháp khôi phục .,0
đụ mẹ ngầu vãi,1
chuẩn công tình yêu toàn đồng nghiệp he he,1
gia đình hận thù .,0
tỉnh táo đi !,0
bếp dầu thời bao,0
crush cờ rớt đừng cờ rớt mấy mẹ hàng online bất động sản mày hm,0
kiểu chả chết ? đá to kia thoát nổi ?,2
huhu,2
trời lũ cờ hó cười,1
dự định tao  bồ bắt cưới sợ ế haha,1
đau thân,2
per võng thể,0
 canh bạc ngạc nhiên,0
thầm lớp,0
quê tao lắm . mùa đi rừng,0
"khuyên , bình tĩnh  xíu , đừng sát , đời sống  .",2
crush tao .,2
cặp lầy thương,1
nấu,0
chứng minh hình kia vãi . vẽ hình xong chấm ta cười,1
đụ mẹ gật đầu quyết vãi haha,1
bốc toàn trúng may mắn,2
cẩn thận móc túi trộm .,0
đoạn yêu mún chết,1
hahahaha,1
đời nấu  nồi bánh chưng bao cắt tóc ngắn đi xinh cháu .,1
"mày vã đấy , kinh",0
" khóc , hàm thể thụt cười cười",1
per ôi bếp thời chinh chiến,1
"trời mẹ phim thớt , cười ná thở",1
công ngáo cỏ yêu cười,1
tao mắt bố tao tao bệnh tao chồng,2
chia buồn gã lưng gù :buồn_but_relieved_face:buồn rying_face:,2
tao viết . bây đọc đốt lười đốt,2
tác phẩm nghệ thuật chất hiếm điện ảnh việt nam công quê đón,2
thực lựa lựa hihi .,2
"tui hòa , phú yên chả .",2
"đầu bắn kéo ngược đạn bay mặt tao , đau điếng",2
gái thương “ nhắm mắt đại “ haha,1
nắm bắt,0
"gái mẽ , cá .",1
buôn tình cảm ko thuoc nua . bat đầu kiem tiên,2
"diễm tao vô tao trông đi , đầu tuần trông tuần đầu trông :rolling_on_the_floor_cườiing:ngại ngùng",1
thương trời,1
sạn . ma đầu bóng cánh .?,0
đừng tưởng yêu mày yêu mày cười,0
tui đi lộn lớp,0
chuẩn prayforparis  tuần phê áo vàng loạn dẹp .,2
sinh viên  định hướng trường buồn,2
máy nhạc nè,0
xong bảo ship . xe hỏng tiêu cười,1
tui đu ́ vui vẻ tao biê ́ tao thư ̀ no ́ la ̀ shiper,1
"nghiệt súc tao đi đá bóng  vợ chồng dí cắn bầm chân , thù dai kinh khủng , chiều khởi động tao đá bóng . mẹ tao , nghề nấu nướng tệ dí xác định tao vàng ương cười",1
nấu kiểu ngon lắm ngon,1
per,1
mấy chứng minh yêu,0
thằng ben tội nghiệp,2
yêu nè nè,1
tao . chả đi đền chùa lí ?,0
tiền bạc phù du . nhiêu haha,0
mong thể ước mơ . cố,1
đi thái hè chim ưng phết đấy cười,1
bếp dầu,0
đổ sàn đổ mồm phê,1
tao lầm tưởng . tao ngu ngốc bó,2
đẹp trai .,1
tao buồn cười vãi cười,1
mấy góc cầu bể thành mấy đứa mập chân ngắn .,0
"trải bể dâu , bể ong ? lót dép hóng vui vẻ",1
per tao móng chân xoắn ốc giới cười,0
tui buồn,2
"per bửa đi coi , trailer hấp",1
yêu,1
trẻ công cày . ngơi ổn định . già cháu đuổi đường bắt đầu  bàn trắng . đời ngại,2
"quan trọng , tất vui .",0
hiện yêu nam yêu lo cua đi nhá yêu đừng hối hận đấy huhu,2
cute cưng cưng . per tao ?,1
"per cười bắt nạt , giấu đồ bòn đồ công trở căng thẳng phết :loudly_khócing_face:",2
mảnh đời bất hạnh buồn đi,2
"ta hầu đôi mắt bao dung lạ , đối thân cạnh khuyết .",2
ta mải chiều buồn rying_face:,2
"công ty thực phẩm cung trường mầm non độc ác . lợi ích cá nhân ảnh hưởng khủng khiếp . dã man . hoạ mai đời đời cháu gánh nghiệp . gieo nhân gặt , đừng tưởng bây sống . đời lắm",0
chân thành tổn thương buồn,2
dàn lông chân cười,0
thức chó ngon cười,1
tiên sư thằng ghép nhạc cười rớt mồm ghép,1
bật lửa thời thu,0
dưng mãi dưng,0
per hội vinmec buồn,2
mắt đau đớn . tội ?,2
. đi chồng :buồn_but_relieved_face:,2
per tập gym đi mày yêu đấy cười,1
?,0
"già lắm , nhổ sợ tóc , tao buồn buồn",2
đấy lắng liền trào mắt,2
"per chế sợ sợ chó , hồi đánh rượt cầm ca , bàn chảy , miệng kem chạy khóc chó",0
kiểu cá nét đẹp nàn gió . nét đẹp công nghiệp đại trà .!,0
niềm,0
nấu cơm . đun rơm . đốt  . hỏng nổi cơm huhu,2
tạm biệt cám ơn tất vn,1
thương,1
"nhổ tóc sâu bố , hình đ mua kẹo haha",1
"ng nhật giỏi chỗ ., phiền hà hội .",1
"ngu chờ mật ong ngấm đất , đào đất đấy chắt kiểu cười",0
tập hát bình chán,1
tổn thương chả thương,2
đi họp lớp ?,0
yêu ngu buồn,2
"đánh  hơi sốc , tâm hồn trở mẽ , cảm xúc đàn hồi",0
per tiếc đấy bố,2
bao nhiêu buồn,2
"ngõ , tô đỗ",0
bé xinh ?,1
vợ bos thân hình hoàn mĩ,2
đọc cười rớt hàm . đọ sức xe lửa tô,1
gấp trai yêu trời đất cười,1
tao . .,2
"chán , dạo hồi xuân đọc mấy kiểu ấm vãi buồn",2
đẹp pháp phun cháy rần rật,2
"may công an bắt dân chỗ nồi , cắt cử đi mua giềng mẻ haha",1
quy trình,0
ốm xinh hm,1
đợi chờ hạnh phúc mong hai lãnh đạo tiến triển,0
vải nóng lở miệng,2
trồi ôi đọc tưởng yêu,1
per chì chiết   phia . sống vui vui quá:nháy mắting_face:,1
khổ bầu,2
trai tài gái sắc . danh ngôn tài sản tài ! :rolling_on_the_floor_cườiing:,1
per bột mì chiên huhuhu,2
trai uống hihi,0
per :rolling_on_the_floor_cườiing: vẽ,0
per học hành cố mần đi,0
phim,1
đi mãn nguyện .,1
thơ  . trai mặc tất bảo vệ yêu,1
"đi khí xuân , đi . tao chợ km",1
"mặc kệ ta , tiền mua xe đi kệ mẹ thiên hạ",0
bé gái yêu ?,1
ước  mai thức dậy dụi mắt mãi xuân cười,1
"phục vụ quán karaoke đi khổ , toilet danh nam đứng tè , nỡ mấy ỉa buồn rying_face: thiệt mún khóc …",2
tao chờ nhạc video :rolling_on_the_floor_cườiing:,1
video sướng thằng,1
"khoảnh khắc mặt đi , tim tan nát vãi",2
tất hoàn hảo . trừ pha nhảy vui vẻ,1
per thử,0
buồn lắm,2
ốm nhom thương ghê buồn,2
"sĩ sướng , bảo cở cởi , bảo cưới cưới . lắc đầu khóc .",1
giọng hơi thương nhá cười,1
haha,1
cặp thương ghê yêu,1
cảm động hjxhjx,2
tao phân biệt nội ngoại ?,0
sống mấy trọn vẹn buồn rying_face:,2
"tụi mày cảm giác , bắt dám bắt ? tụi mày cảm giác vờ ngủ gục ? tụi mày kỉ , tỉ mỉ ?",2
ngưỡng mộ đi . chúc  ac mãi mãi hạnh phúc nha cười,1
per chất hâha,1
chả cười,1
thua mặt dày xíu . vui vẻ,0
chuẩn đét . tui nghỉ công ty cũ đồng nghiệp :loudly_khócing_face:,2
"thằng đàn lĩnh bé , thay bắt nạt , quát tháo đàn che chở , yêu thương ! mong trai mẹ mấy .!",1
sấm trời toàn khu phố điện,0
âm đồ đêm .,0
đi đường quen ! đường lạ cười,0
xong cảm  ám cười,2
đi bao thoát đựoc kiếp yêu ? buồn,2
lai xinh phết ?,1
đụ mẹ lừa đảo hằng trăm tỉ . phạt  triệu cười chán vãi,2
tao,1
"phim , bé hôn bố mắt rơi , híc híc",2
bao đích,2
hm não tao xoắn mẹ,0
khuôn mặt đậm chất giải trí thương,1
link phim phim phim buồn,2
ta cư xử  vợ !,0
per cười haha,1
"trời , thương",1
tao hưởng,1
hàng online hồi  cười hè đi quanh hạnh phúc giao hàng bố . lãi  tr cười,1
thần tài chủ cửa hàng vàng thần tài,0
"hiện yêu , nữ chồng yêu bình luận lựa may mắn cười",1
lỡ tào tháo rượt wc kia nhảy,0
chòi má tình vãi cười,1
gái ảo tưởng lắm hihi,2
thân sánh vai . chi thể đợi khôn !,2
tóc ngắn ngắn cam cam ?,0
sai nhá . mẹ cố gắng,0
lắm . .,1
đào lớp nhện bắn tơ sợ haha,1
hồi khoái lắm,1
"yeah , fan cứng cười",1
đứa thèm đi biển tao ?,1
tài năng làng đua xe đạp tương lai vui vẻ ictory_hand:,1
"phim bé đặc biệt , . phim diển viên tham gia giáo dục cực . chúc phim vui vẻ",1
"per đọc dòng lướt "" hi vọng câu bịa ."" .",1
câu khuyến mại cười,1
chột vãi,2
"thánh ghét , trừ hlv , thương gắp trăm thằng pogba , mong thằng biến mu",1
đi xong buồn chó cắn tiếp,2
thương kinh khủng . mấy đứa yêu lầy,1
niên leo dõi thời tiết thông báo dân đi cấy cảm động,1
bao giải phóng,0
đầu . đầu cảm giác che chở cười,1
"hình đau khổ , thể or .",2
tao cười ỉa bọn cười,1
sừng mọc hồi,0
câu sai sai,0
não đá . đội nón,0
", trai tao cắt tóc xong tao đè chụp hình . cảm cắt tóc xong đứa tao cười",1
yêu vãi cười,1
cử độg vẫy vẫy tuyệt mẹ vời ?,0
thân hạnh phúc cs . mơ ước hiện . vui,1
per mặt gióng cười tiếng súng,0
viết đọc sướng .,1
gãy,2
đợi nốt ván cười,1
", độ chục đi soi ve buồn",2
tui soi gương suốt crush ngắm nụ cười tỏa nắng,1
per hồi mua đại học nè haha,1
chàng trai tài gục ngã đi cười,1
ta vợ  . bao chê . yêu,1
"mê lọt cóng nè , vẻ mặt hp vui",1
"mày crush cười , mày chạy gương",1
per bư mẹ haha,1
phim vãi . ma nữ trời haha,1
per nuôi đi kịp chả già haha,1
per thông minh,1
tầm . áp lực sống . tình cảm gắn bó khăn . ngưỡng mộ ước chút phúc đức,1
bình tĩnh vô,0
haha . thương ghê vui quáđáng yêu,1
thiết mua,0
mẫu giáo chép tao tao thẻ ?,2
câu buồn hihi,2
ng dân bệnh chồng bệnh,2
tình ngang trái ?,0
"bình sữa ham , sinh bé chả sữa .",2
"sời , chỗ",1
sếp đồng nghiệp đi đi bonus  hẳn,1
"tao toàn giận tao tao dỗi , dỗ tao . hahahaha",1
per vui . đi dạo ven hồ thương,1
per cảm ơn đi . tầm quan trọng máy chém gió,1
cấm đỗ công an,0
tao độ chân thực câu haha,1
per giải trí cười,1
<  lạ cười,1
cười vô mặt,1
sống . ghi . mấy chửi ta,0
per kỉ niệm trốn học đi phim haha,1
đau bụng ự ự,2
lợi ích vững quan cười,1
mày buồn .,2
tao  đi,0
trai tao đéo giận dai dỗ,1
án xử dân,2
nhiê ̀  biê ́ đô ̣ kha ́ thu ́ vi ̣ cười,1
"thương tra ̀  nươ ́ mă ́ tao . cuô ́  cu ̀ thi ̀ ban la ̃ nh đa ̣  bă ́ ninh đa ̃ tiê ́ giu ́  đơ ̃ ca ́ be ́, du ̀ ́ muô ̣ @",2
giẻ lau xong vắt nửa,0
xưa mừn lắm .,1
se lạnh đừng thằng kia lấp nhíp sưởi ấm .,0
phận trai sung sướng haha,2
"hôm vàng đi , tuần mua , vãi .",1
kính thủy lực kính,0
bao câu buồn,2
"chuẩn , khởi nghiệp phá sản mấy đầu",1
giỏi . đạp ngất đi đầu . thành công . chắn,1
viết !,1
? vãi,1
 . ta mượn  tr . ta  tr / ?,0
ôi cháu tao cười,1
chén mày . đấy,0
haiz  câu bùn,2
"ha . ha . ! thay đổi ! nhâm nhi ly cà phê , phì phèo điếu thuốc thiên hạ vui . !",1
cười đứa mày . đau,2
per đừng gym . boxing đụ buồn,2
đừng  múi ham nha nha haha,1
mấy đứa chửi đời cư xử đứa .,0
- mấy đừng đổ nha buồn . ngại lắm buồn :rolling_on_the_floor_cườiing:,1
công giận dỗi lỗi cười,1
chúc mừng . giỏi . chuc khỏe .,1
per hóng phim dụ dỗ tiếp nè vui vẻ,1
chủ nhiệm cu nhẹ nhàng nết na lắm ! hành xử ! buồn !,2
"hồi euro  rực màu áo tuyển , ghi mấy bàn bàn phê .",1
yêu trời,1
nỗi đau,2
sĩ diện nội mũ kết dắt xe mẹ đoạn đường,0
"vietcombank  trừ  phí inter mobile banking , chả xài buồn",2
gia lai tây nguyên xưa vàng đen ' hồ tiêu ' vàng trắng ' su ' dân dư mặt bây thua đi tứ xứ . thời,2
đéo cười,0
buông chết mấy đứa gái tao :loudly_khócing_face:,2
bất công,2
chẳng thời . ta lỡ :buồn_but_relieved_face:,2
chia buồn pháp .,2
vui,0
dỗi thương,1
hình vui đọc khóc nhĩ .,2
nghiệp chướng hiệu cười,1
trông mặt buồn kìa per buồn,2
giá rơi khứ .,0
tao đéo bao . mẹ tao bây buồn rying_face:,2
thay đường ray thay,0
quần tà lỏn xanh,0
tình su phát triển đất đồi sai lầm .,0
mấy bé đừng tưởng giận ngon vui vẻ giận xog giết đấy cười,0
per mốt mua son sài,0
tội ! nuôi chăm sóc,2
khóc . mẹ yêu thương minh,2
xưa đi học đạp xe tưởng phim truyền hình cười,1
hoc vui,1
yêu cười,1
"per , tao dg suy đi rap",2
", tỏ  cảm xúc",0
 đời chẳng mong mong phút quên tồn,2
 per doi dap rat tuyet voi . chuc cong vu .,1
dân kinh doanh khoái đi chợ lắm nè,1
tiếc tình .,2
tao mẹ tao coi haha,1
hơi trí cười,1
giun xào xả ớt tuyệt cú mèo :rolling_on_the_floor_cườiing:,1
cưng xỉu ?,1
tình đơn phương !,2
per ly trà sen đem thành :loudly_khócing_face: hức hức .,2
per my nè,1
may,0
 đứa châm châm nuốt nổi ?,0
vui,0
gắn bó thời sinh viên nè,1
"haha dần dần kiềm chế , khắc phục sợ vũ lực hành động chết cười kaka",1
giải lao hiệp,2
hihi mắc cười,1
"per nặn đi , mai mốt trai dầy nè hihi cười",1
bao nhiêu tao vẽ đẹp vãi mắc bệnh lười vẽ vẽ he . . tai vui vẻ,0
yêu dã man,1
", chẳng chứng",0
kiểu định share tinh thần đọc bình luận xong kiểu đứa tiêu cực buồn,2
đắt ly hôn,0
bé năng khiếu giáo dạy văn . tục đời . đồng cảm cháu,2
 đôi giày  . !,0
chẳng !,0
"per đoạn thằng kia tán trái sầu , trượt phát :rolling_on_the_floor_cườiing:",1
đấm liên tục mồm đéo trượt phát lồn cười,0
tui thất bại thành công cười,2
buồn cố quan tâm hề rep,2
buồn,2
tao nè . lắm đi chồng trái . mệt mỏi,2
buồn cười haha,1
cãi đôi haha,1
cắt tóc xong tao ơn bố mẹ sinh tao đẹp trai vãi cười,1
buồn buồn ngủ tha,0
per cười kiểu cười,1
"kết hậu , đầu khấc vợ tương lai kia kìa",2
"quên đường , đi bụi",0
tui  thân trọc trời tao . . buồn,2
per nè,0
liệu dàng xen cười,0
xinh vãi .,1
ghi,0
yêu vãi cười,1
đời khổ ! buồn,2
phim dã man - phim kiểu dạng  yêu,1
"khuyến cáo "" đừng học võ tiền mua dụng cụ "" per",0
vợ chồng sống . tao /  .,1
"trẻ nhân hậu , yêu .",1
cười,1
chuẩn,1
wao . hợp lí ghê,1
đau,2
miền nam giá dư giả,0
per cưới,0
"tao thổi cơm đổ khét vung , đánh đít xong tiếng trời",2
đảm bảo coi cười sặc cười diễn tệ nỗi,1
", tưởng hóa .",0
dăm nồi nấu ngon cơm điện tao . kaka,1
per tao mày đau lắm lo lắng,2
"mày sĩ tâm lý , hoàn toàn sĩ",0
đôi công áp lực . môi trường trở áp lực,0
hồi tao kẻ tập kiểu màu mè đẹp xong trừ ?,2
tao thầy mày cười hí hửng ?,1
 đêm trai xong mắt rỡi chán,2
 . ta tụ họp,2
ngôn tình,1
buồn rớt tiền,2
mong mai,1
cười * bep * tao buồn,2
nỗi nổi . phim nghĩa .,1
ahihi buồn cười,1
tui ngắm yêu tao cười ngắm tao yêu giận cắn mấy phát tao cuồng yêu,1
"tưởng chừng đẹp bao trọn vẹn , kỉ niệm cười",2
"chàng ngốc , phim ấn độ , cực hài , cực cảm động nghĩa",1
" phim tuyệt vời , đi chục ngán",1
bây tao chồng hội ngủ gái mệt,2
mặt cưng xĩu,1
per kì cục,1
hình vụ bể bình dâu tằm,0
tao biến dạng,2
mai đi học quên cầm bút huhu buồn,2
per mỏi chân quái vui vẻ,2
đụ mẹ cười ĩa,1
per hôn nhẹ má nha :rolling_on_the_floor_cườiing:,1
"tao mua bánh kem sinh nhật tao , đấy tao  tao mua  bình",2
dựt gái hahaha,1
"giới toau crush mày , mày íu :trung lập_face:",2
xác ! đoàn kết cỡ mau . vui,1
tôm diệt tôm địa,0
", thương .",2
đứng ? bankon cột võng nằm coi .,1
 đứa  đứa trai . kinh nghiệm trai ế muôn đời muôn kiếp . haiza .,2
"đi chán , best best :loudly_khócing_face:",1
tán mãi đổ chia,0
cuồng mấy video chế . video tag haha,1
học rmit chắn gia phả giàu vcd . thằng tiền học bổng -),0
per hình  ?,0
thể yêu loài ?,0
per nhu cầu mày khoái mấy video tao tag mày,0
đối xử thằng trai .,2
singapore . dư hành lý  chi mă ̣ ,1
per kìa  hốt hàng đi hâha,1
"xưa đĩa phim . bố đi công tác đĩa "" dâu  "" . má chửi sấp mặt .",2
may gỡ  miếng sắt tàu hỏa bung đi đỡ đồng . kaka,1
cười lộn ruột,1
chờ thằng kia lật mặt mãi,0
đàn ghen phụ nữ đấy,0
tố chất . liên đoàn xe đạp việt nam thể liên hệ đào đấy,1
nhắn yêu đéo nhẹ nhàng cười,1
an ủi í buồn,2
lắm .,1
mày kia tao ngủ huống mày,1
"per hihi học quan trọng , quan trọng bọn hihi",1
đi họp lớp đếu,0
đơn .,2
mua đồ tết điệu đà tán gái tán,0
chua cay bùi mặn chả .,0
vui vẻ,1
"đụ mẹ đi học mấy điên đuổi cắn , đụ mẹ tao sợ chạy té sấp mặt trầy mẹ chân . dòng đỹ cười",0
"bếp lò xô nấu dầu hôi ,!",0
rớt giá kinh khủng khiếp huhu,2
mai phòng đi tập,1
tao cười mấy linh tinh tao nguyên  hộp bự,1
:rolling_on_the_floor_cườiing: bo chấm cơm . hahaha,1
,0
tuyệt vời . aeon mal,1
tội :loudly_khócing_face: lũ vô nhân hủy hoại mầm non tương lai .,2
bé điên khùng phiền vãi yêu vãi chưởng cười,1
câu hát yêu thời xe hơi .,0
per đừng hành hạ tuôi,2
lạc quan cưng yêu yêu,1
bọn chủ tịch mày ?,0
tao trái tao thẹo mẹ tao xưa cắt trúng thẹo phân biệt kêu ứng liền,0
sài gòn  / mua .  / mua ! ha ha,1
hợp lí vãi,1
xưa tao ồn ngoại tao liền la roi đánh ngại vui lắm vui,1
"đi lead , đừng gọi ninja , đấy",2
nhiên cảnh  bánh bèo ngỗng dí ngại per,1
 đi mày xinh . cố,1
sài gòn sống nhân văn .,1
vi diệu,1
nuôi trông béo kia vui vẻ bí quyết đi,0
ly hôn kiểu . tiền mừng tao định ly hôn .,1
mày đồ chua phòng toàn xoài chua buồn,2
bố video xong bố rút  . bố chửi cầm đũa bố chửi thân . yêu,1
